Country,Start Month,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,mean_deaths_per_month,CountryMonthlyMean,GlobalMonthlyMean
Bahamas (the),8.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2.5,26.01111111111111,280.8321108394458
Bahamas (the),9.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,67.33333333333333,26.01111111111111,365.75765765765766
Bahamas (the),10.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8.2,26.01111111111111,511.2567567567568
Bahamas (the),11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,26.01111111111111,581.2519280205655
Bahrain,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111.0,111.0,280.8321108394458
Bangladesh,1.0,0,0,2,1,10,0,0,0,0,0,0,0,3,0,0,64.2,2525.178650736133,434.68226600985224
Bangladesh,2.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,14.25,2525.178650736133,185.49571428571429
Bangladesh,3.0,0,0,0,3,0,3,0,0,0,0,0,0,20,0,0,112.1304347826087,2525.178650736133,151.31508875739644
Bangladesh,4.0,0,1,1,3,0,4,0,0,0,0,0,0,47,0,0,2828.3076923076924,2525.178650736133,526.7740693196406
Bangladesh,5.0,0,0,0,3,1,8,0,0,0,0,0,0,50,0,0,1639.2105263157894,2525.178650736133,1085.6772366930918
Bangladesh,6.0,0,1,1,1,0,23,0,0,0,0,2,0,7,0,0,523.8484848484849,2525.178650736133,237.06111696522655
Bangladesh,7.0,0,3,2,5,1,27,0,0,0,0,3,0,6,0,0,928.918918918919,2525.178650736133,5728.0
Bangladesh,8.0,0,0,0,3,0,18,0,0,0,0,1,0,3,0,0,196.95454545454547,2525.178650736133,280.8321108394458
Bangladesh,9.0,0,0,0,4,0,9,0,0,0,0,0,0,5,0,0,442.85714285714283,2525.178650736133,365.75765765765766
Bangladesh,10.0,0,1,0,1,0,4,0,0,0,0,0,0,23,0,0,2805.230769230769,2525.178650736133,511.2567567567568
Bangladesh,11.0,0,0,1,4,1,0,0,0,0,0,0,0,11,0,0,20465.0,2525.178650736133,581.2519280205655
Bangladesh,12.0,0,0,1,1,10,0,0,0,0,0,0,0,6,0,0,281.2352941176471,2525.178650736133,1039.5979899497488
Barbados,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.333333333333334,434.68226600985224
Barbados,7.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,11.333333333333334,5728.0
Barbados,9.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19.666666666666668,11.333333333333334,365.75765765765766
Barbados,10.0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3.0,11.333333333333334,511.2567567567568
Barbados,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,11.333333333333334,581.2519280205655
Belarus,1.0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,13.4,6.8,434.68226600985224
Belarus,3.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2.0,6.8,151.31508875739644
Belarus,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6.8,1085.6772366930918
Belarus,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,6.8,237.06111696522655
Belarus,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,6.8,5728.0
Belarus,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,6.8,581.2519280205655
Belgium,1.0,0,0,0,1,2,5,0,0,0,0,0,0,6,0,0,5.166666666666667,126.68333333333335,434.68226600985224
Belgium,2.0,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,2.5,126.68333333333335,185.49571428571429
Belgium,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,126.68333333333335,526.7740693196406
Belgium,5.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5.0,126.68333333333335,1085.6772366930918
Belgium,6.0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,296.0,126.68333333333335,237.06111696522655
Belgium,7.0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,221.5,126.68333333333335,5728.0
Belgium,8.0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,707.0,126.68333333333335,280.8321108394458
Belgium,9.0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1.0,126.68333333333335,365.75765765765766
Belgium,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,126.68333333333335,511.2567567567568
Belgium,11.0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,2.3333333333333335,126.68333333333335,581.2519280205655
Belgium,12.0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,21.333333333333332,126.68333333333335,1039.5979899497488
Belize,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.0,118.125,1085.6772366930918
Belize,8.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,118.125,280.8321108394458
Belize,9.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,383.75,118.125,365.75765765765766
Belize,10.0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,78.75,118.125,511.2567567567568
Belize,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.0,118.125,581.2519280205655
Belize,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,118.125,1039.5979899497488
Benin,1.0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,53.22222222222222,41.78888888888889,434.68226600985224
Benin,2.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,132.0,41.78888888888889,185.49571428571429
Benin,3.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31.333333333333332,41.78888888888889,151.31508875739644
Benin,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24.5,41.78888888888889,526.7740693196406
Benin,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,41.78888888888889,1085.6772366930918
Benin,6.0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4.666666666666667,41.78888888888889,237.06111696522655
Benin,7.0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,21.25,41.78888888888889,5728.0
Benin,8.0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,10.75,41.78888888888889,280.8321108394458
Benin,9.0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,5.666666666666667,41.78888888888889,365.75765765765766
Benin,10.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,93.5,41.78888888888889,511.2567567567568
Benin,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.0,41.78888888888889,1039.5979899497488
Bermuda,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,4.0,434.68226600985224
Bermuda,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,280.8321108394458
Bermuda,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4.0,4.0,365.75765765765766
Bermuda,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,511.2567567567568
Bhutan,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,52.833333333333336,434.68226600985224
Bhutan,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,52.833333333333336,526.7740693196406
Bhutan,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14.5,52.833333333333336,1085.6772366930918
Bhutan,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,52.833333333333336,237.06111696522655
Bhutan,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,52.833333333333336,5728.0
Bhutan,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200.0,52.833333333333336,280.8321108394458
Bhutan,9.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,17.666666666666668,52.833333333333336,365.75765765765766
